state,state/region,ages,year,population,area (sq. mi)
Alabama,AL,under18,2012,1117489,52423
Alabama,AL,total,2012,4817528,52423
Alabama,AL,under18,2010,1130966,52423
Alabama,AL,total,2010,4785570,52423
Alabama,AL,under18,2011,1125763,52423
Alabama,AL,total,2011,4801627,52423
Alabama,AL,total,2009,4757938,52423
Alabama,AL,under18,2009,1134192,52423
Alabama,AL,under18,2013,1111481,52423
Alabama,AL,total,2013,4833722,52423
Alabama,AL,total,2007,4672840,52423
Alabama,AL,under18,2007,1132296,52423
Alabama,AL,total,2008,4718206,52423
Alabama,AL,under18,2008,1134927,52423
Alabama,AL,total,2005,4569805,52423
Alabama,AL,under18,2005,1117229,52423
Alabama,AL,total,2006,4628981,52423
Alabama,AL,under18,2006,1126798,52423
Alabama,AL,total,2004,4530729,52423
Alabama,AL,under18,2004,1113662,52423
Alabama,AL,total,2003,4503491,52423
Alabama,AL,under18,2003,1113083,52423
Alabama,AL,total,2001,4467634,52423
Alabama,AL,under18,2001,1120409,52423
Alabama,AL,total,2002,4480089,52423
Alabama,AL,under18,2002,1116590,52423
Alabama,AL,under18,1999,1121287,52423
Alabama,AL,total,1999,4430141,52423
Alabama,AL,total,2000,4452173,52423
Alabama,AL,under18,2000,1122273,52423
Alabama,AL,total,1998,4404701,52423
Alabama,AL,under18,1998,1118252,52423
Alabama,AL,under18,1997,1122893,52423
Alabama,AL,total,1997,4367935,52423
Alabama,AL,total,1996,4331103,52423
Alabama,AL,total,1995,4296800,52423
Alabama,AL,under18,1995,1110553,52423
Alabama,AL,under18,1996,1112092,52423
Alabama,AL,total,1994,4260229,52423
Alabama,AL,total,1993,4214202,52423
Alabama,AL,under18,1993,1085606,52423
Alabama,AL,under18,1994,1097180,52423
Alabama,AL,under18,1992,1072873,52423
Alabama,AL,total,1992,4154014,52423
Alabama,AL,total,1991,4099156,52423
Alabama,AL,under18,1991,1060794,52423
Alabama,AL,under18,1990,1050041,52423
Alabama,AL,total,1990,4050055,52423
Alaska,AK,total,1990,553290,656425
Alaska,AK,under18,1990,177502,656425
